ID;Image;Nom;test;R??ence;Categorie;Fournisseur;Prix HT;ID Taxe;Etat
31;http://pprod.koomaakiti.com/img/p/31/31-a.jpg;Cacao en poudre Ovaltine 400g;Fortifié en vitamines et minéraux, l'arôme et la force du cacao sont concentrés dans cette poudre. Le cacao en poudre Ovaltine peut être consommé chaud ou froid.;b-cac-ov-400;Epicerie sucrée*Boissons;Alpha;160000;65;1
32;http://pprod.koomaakiti.com/img/p/32/32-a.jpg;Cacao en poudre Ovaltine 18g;Fortifié en vitamines et minéraux, l'arôme et la force du cacao sont concentrés dans cette poudre. Le cacao en poudre Ovaltine peut être consommé chaud ou froid.;b-cac-ov-400;Epicerie sucrée*Boissons;Alpha;35000;65;1
33;http://pprod.koomaakiti.com/img/p/33/33-a.jpg;Café en poudre Nescafé - Boite de 120 sticks de 20g;Composé de grains d'arabica et de robusta torréfiés et sélectionnés, le café en poudre Nescafé offre un goût intense et corsé. Peut être préparé avec de l’eau ou du lait. Utiliser une cuillère à café bombée de poudre Nescafé pour 100ml d'eau ou de lait frémissant.;b-caf-ne-20;Epicerie sucrée*Boissons;Alpha;1500;65;1
34;http://pprod.koomaakiti.com/img/p/34/34-a.jpg;Café en poudre Nescafé - Boite de 200g;Composé de grains d'arabica et de robusta torréfiés et sélectionnés, le café en poudre Nescafé offre un goût intense et corsé. Peut être préparé avec de l’eau ou du lait. Utiliser une cuillère à café bombée de poudre Nescafé pour 100ml d'eau ou de lait frémissant.;b-caf-ne-200;Epicerie sucrée*Boissons;Alpha;70000;65;1
35;http://pprod.koomaakiti.com/img/p/35/35-a.jpg;Margarine Jadida - Pot de 1Kg;Utilisable pour le petit déjeuner, le goûter et pour la préparation de méchouis, de gâteaux, de cakes. Composé d'huile de soja et de citron, d'œufs, d'eau distillée, de vinaigre de cidre, de sucre, de sel, de farine d'oignons, d'arômes naturelles et de colorant naturel.;e-mag-ja-1;Epicerie salée*Produits laitiers;Alpha;45000;65;1
36;http://pprod.koomaakiti.com/img/p/36/36-a.jpg;Beurre en plaquette Président 200g;Beurre produit en France. Son mélange unique de crèmes, son origine française et son expertise permettent d'offrir le goût authentique d'un vrai beurre.;e-beu-pr-200;Epicerie salée*Produits laitiers;Alpha;30000;65;1
37;http://pprod.koomaakiti.com/img/p/37/37-a.jpg;Beurre en plaquette Elle & Vire 200g;Beurre produit en France à teneur réduite en matière grasse. Utilisable en tartine et en cuisine.;e-beu-ev-200;Epicerie salée*Produits laitiers;Alpha;20000;65;1
38;http://pprod.koomaakiti.com/img/p/38/38-a.jpg;Mayonnaise Bama - Pot de 946Ml;Mayonnaise riche et onctueuse. Composée d'huile de soja et de citron , d'œufs, d'eau distillée, de vinaigre de cidre, de sucre,  de sel , d'oignon et d'arômes naturelles.Conserver au frais après ouverture.;e-may-ba-946;Epicerie salée*Produits laitiers;Alpha;20000;65;1
39;http://pprod.koomaakiti.com/img/p/39/39-a.jpg;Fromage Vache qui rit - Boite de 120g;Fromage allégé en matières grasses utilisant des ingrédients de qualité. Contribue au bon équilibre alimentaire. Une portion est composée de 100mg de calcium et de seulement 19% de matière grasse.;e-from-vq-120;Epicerie salée*Produits laitiers;Alpha;30000;65;1
40;http://pprod.koomaakiti.com/img/p/40/40-a.jpg;Thé Lipton Yellow Label - Boite de 100 sachets;Véritable référence gustative, le thé Lipton Yellow allie les vertus stimulantes de la théine aux bienfaits à long terme des antioxydants (prévention contre le vieillissement des cellules et contre certains cancers). Emballé en sachet individuel,  permettant de conserver parfaitement les saveurs du thé, sa préparation est des plus pratiques.;b-the-li-100;Epicerie sucrée*Boissons;Alpha;7500;65;1
