ID;Image;Nom;test;R??ence;Categorie;Fournisseur;Prix HT;ID Taxe;Etat
11;http://pprod.koomaakiti.com/img/p/11/11-a.jpg;Concentré de tomate Gino - Boite de 70g;Composé au minimum de 28% de tomate, le concentré de tomate est réalisé avec des ingrédients sélectionnés partout dans le monde. Le processus de fabrication permet de conserver tous les bienfaits de la tomate.;e-tom-gi-70;Epicerie salée*Légumes;Alpha;15000;65;1
12;http://pprod.koomaakiti.com/img/p/12/12-a.jpg;Concentré de tomate Gino - Lot de 50 boites de 70g;Composé au minimum de 28% de tomate, le concentré de tomate est réalisé avec des ingrédients sélectionnés partout dans le monde. Le processus de fabrication permet de conserver tous les bienfaits de la tomate.;e-tom-gi-50;Epicerie salée*Légumes;Alpha;70000;65;1
13;http://pprod.koomaakiti.com/img/p/13/13-a.jpg;Oignons en sac de 25Kg - Toutes marques;Produits en Guinee, sac de 25Kg.;f-oig-xx-25;Epicerie salée*Légumes;Alpha;150000;65;1
14;http://pprod.koomaakiti.com/img/p/14/14-a.jpg;Pommes de terre en sac de 25Kg - Toutes marques;Produits en Guinee, sac de 25Kg.;f-pom-xx-25;Epicerie salée*Légumes*Riz et féculant;Alpha;170000;65;1
15;http://pprod.koomaakiti.com/img/p/15/15-a.jpg;Lait en poudre Fonterra - Sac de 25 KG;Fabriqué à base de lait frais entier pasteurisé et séché par atomisation. Il est composé de tous les constituants du lait frais et fournit les mêmes saveurs. Disponible en sachets de 10Kg, 5Kg, 1Kg et 500g. Conserver dans un endroit sec.;l-lait-fon-25;Boissons*Produits laitiers;Alpha;150000;65;1
16;http://pprod.koomaakiti.com/img/p/16/16-a.jpg;Lait en poudre Fonterra - Sac de 10 KG;Fabriqué à base de lait frais entier pasteurisé et séché par atomisation. Il est composé de tous les constituants du lait frais et fournit les mêmes saveurs. Disponible en sachets de 25Kg, 5Kg, 1Kg et 500g. Conserver dans un endroit sec.;l-lait-fon-10;Boissons*Produits laitiers;Alpha;0;65;1
17;http://pprod.koomaakiti.com/img/p/17/17-a.jpg;Lait en poudre Fonterra - Sac de 5 KG;Fabriqué à base de lait frais entier pasteurisé et séché par atomisation. Il est composé de tous les constituants du lait frais et fournit les mêmes saveurs. Disponible en sachets de 25Kg, 10Kg, 1Kg et 500g. Conserver dans un endroit sec.;l-lait-fon-5;Boissons*Produits laitiers;Alpha;0;65;1
18;http://pprod.koomaakiti.com/img/p/18/18-a.jpg;Lait en poudre Fonterra - Sac de 1 KG;Fabriqué à base de lait frais entier pasteurisé et séché par atomisation. Il est composé de tous les constituants du lait frais et fournit les mêmes saveurs. Disponible en sachets de 25Kg, 10Kg, 5Kg et 500g. Conserver dans un endroit sec.;l-lait-fon-1;Boissons*Produits laitiers;Alpha;35000;65;1
19;http://pprod.koomaakiti.com/img/p/19/19-a.jpg;Lait en poudre Fonterra - Sac de 500g;Fabriqué à base de lait frais entier pasteurisé et séché par atomisation. Il est composé de tous les constituants du lait frais et fournit les mêmes saveurs. Disponible en sachets de 25Kg, 10Kg, 5Kg et 1Kg. Conserver dans un endroit sec.;l-lait-fon-500;Boissons*Produits laitiers;Alpha;18000;65;1
20;http://pprod.koomaakiti.com/img/p/20/20-a.jpg;Lait en poudre Bon Lait - Sachet de 22,5g;Délicieux dans les boissons chaudes et géniales en cuisine !;l-lait-bl-22,5;Boissons*Produits laitiers;Alpha;1500;65;1
