ID;Image;Nom;test;R??ence;Categorie;Fournisseur;Prix HT;ID Taxe;Etat
21;http://pprod.koomaakiti.com/img/p/21/21-a.jpg;Lait en poudre Bon Lait - Lot de 200 sachets de 22,5g;Délicieux dans les boissons chaudes et géniales en cuisine ! Ce lot de 200 sachets est idéal pour la famille.;l-lait-bl-200;Boissons*Produits laitiers;Alpha;225000;65;1
22;http://pprod.koomaakiti.com/img/p/22/22-a.jpg;Lait en poudre Bonjour - Boite de 1Kg;Pour être en forme dès le matin, c'est l'idéal pour le petit déjeuner.;l-lait-bo-1;Boissons*Produits laitiers;Alpha;14000;65;1
23;http://pprod.koomaakiti.com/img/p/23/23-a.jpg;Lait en poudre Bonjour - Lot de 24 boites de 1Kg;Pour être en forme dès le matin, c'est l'idéal pour le petit déjeuner. Ce lot de 24 boites est très intéressant en rapport de qualité/prix.;l-lait-bo-24;Boissons*Produits laitiers;Alpha;285000;65;1
24;http://pprod.koomaakiti.com/img/p/24/24-a.jpg;Lait en poudre Turkey - Boite de 1Kg;Pour être en forme dès le matin, c'est l'idéal pour le petit déjeuner. Ce lot de 24 boites est très intéressant en rapport de qualité/prix.;l-lait-tu-1;Boissons*Produits laitiers;Alpha;13000;65;1
25;http://pprod.koomaakiti.com/img/p/25/25-a.jpg;Lait en poudre Turkey - Lot de 24 boites de 1Kg;Délicieux dans les boissons chaudes et géniales en cuisine. Ce lot de 24 boites est idéal pour la famille.;l-lait-tu-24;Boissons*Produits laitiers;Alpha;275000;65;1
26;http://pprod.koomaakiti.com/img/p/26/26-a.jpg;Lait en poudre pour cérémonie LP - Sac de 25Kg;Fabriqué à base de lait frais entier.;l-lait-lp-25;Boissons*Produits laitiers;Alpha;275000;65;1
27;http://pprod.koomaakiti.com/img/p/27/27-a.jpg;Riz thaï bara bara Libidor 25KG;Riz cassé produit en Thaïlande et parfumé au jasmin. Existe en sac de 50kg.;e-riz-bl-25;Epicerie salée*Riz et féculant;Alpha;850000;65;1
28;http://pprod.koomaakiti.com/img/p/28/28-a.jpg;Riz thaï bara bara Libidor 50KG;Riz cassé produit en Thaïlande et parfumé au jasmin. Existe en sac de 25kg.;e-riz-bl-50;Epicerie salée*Riz et féculant;Alpha;130000;65;1
29;http://pprod.koomaakiti.com/img/p/29/29-a.jpg;Riz blanc;Produit en Guiéee.;e-riz-xb-50;Epicerie salée*Riz et féculant;Alpha;260000;65;1
30;http://pprod.koomaakiti.com/img/p/30/30-a.jpg;Riz SIAM;Produit en Guinée. Idéal pour cuisiner le riz gras.;e-riz-xx-50;Epicerie salée*Riz et féculant;Alpha;200000;65;1
